#{"t_start": 1735251122.354193, "env_id": "ContinuousCartPole-v0"}
r,l,t
489.0,489,1135.803756
322.0,322,1140.850414
328.0,328,1145.766366
481.0,481,1157.357289
500.0,500,1173.396847
402.0,402,1179.580144
362.0,362,1185.171256
374.0,374,1190.91435
428.0,428,1197.633367
500.0,500,1205.36385
388.0,388,1211.351134
492.0,492,1220.065416
353.0,353,1227.655715
380.0,380,1233.606692
358.0,358,1239.185355
351.0,351,1249.766643
355.0,355,1257.057052
373.0,373,1266.698374
336.0,336,1300.534058
355.0,355,1313.641822
427.0,427,1341.409906
366.0,366,1358.701325
392.0,392,1364.978057
500.0,500,1372.921445
360.0,360,1381.094375
385.0,385,1387.231124
369.0,369,1393.135891
387.0,387,1400.360575
459.0,459,1412.670659
421.0,421,1419.490532
364.0,364,1430.384615
421.0,421,1446.52048
372.0,372,1453.850785
388.0,388,1460.734192
333.0,333,1466.125278
346.0,346,1472.147543
387.0,387,1485.217685
349.0,349,1490.943394
350.0,350,1496.937981
335.0,335,1502.330338
316.0,316,1507.501831
358.0,358,1516.004904
337.0,337,1521.831253
385.0,385,1534.885004
372.0,372,1540.788117
301.0,301,1545.650043
376.0,376,1553.397542
334.0,334,1559.128736
315.0,315,1564.265383
370.0,370,1570.15867
329.0,329,1576.033775
422.0,422,1589.9841
368.0,368,1599.631428
336.0,336,1605.700324
383.0,383,1612.675512
500.0,500,1626.474944
439.0,439,1639.958688
373.0,373,1646.123256
392.0,392,1654.208345
500.0,500,1662.109993
358.0,358,1667.815274
500.0,500,1676.284853
447.0,447,1683.310029
326.0,326,1688.418775
462.0,462,1704.206653
371.0,371,1710.053396
374.0,374,1722.093546
368.0,368,1727.912211
405.0,405,1734.85415
500.0,500,1744.506904
500.0,500,1759.637603
500.0,500,1778.509854
500.0,500,1789.520058
470.0,470,1797.735624
500.0,500,1808.08104
422.0,422,1816.69137
500.0,500,1824.674284
500.0,500,1840.941728
500.0,500,1850.1231
500.0,500,1858.705479
483.0,483,1870.844822
500.0,500,1883.642157
500.0,500,1900.245923
388.0,388,1906.419307
500.0,500,1914.267613
440.0,440,1921.765087
500.0,500,1939.440555
500.0,500,1947.452423
325.0,325,1952.737315
