#{"t_start": 1734908711.784777, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,5.849449
50.0,50,5.857874
38.0,38,5.864466
41.0,41,5.873182
48.0,48,5.882748
27.0,27,5.887423
50.0,50,5.896102
46.0,46,5.903746
29.0,29,5.908569
37.0,37,5.914662
51.0,51,5.922775
67.0,67,5.934808
97.0,97,5.950833
30.0,30,5.955783
49.0,49,5.964179
68.0,68,5.975351
44.0,44,5.982667
28.0,28,5.987404
34.0,34,5.993544
29.0,29,5.998564
50.0,50,6.007125
76.0,76,6.020343
74.0,74,6.033427
46.0,46,6.043253
70.0,70,6.056912
97.0,97,6.074484
42.0,42,6.081951
40.0,40,6.088737
58.0,58,6.098784
48.0,48,6.107111
89.0,89,6.127223
48.0,48,6.138577
32.0,32,6.145931
28.0,28,6.701414
69.0,69,6.714241
59.0,59,6.725051
39.0,39,6.731371
55.0,55,6.740203
50.0,50,6.748382
44.0,44,6.75551
52.0,52,6.764208
37.0,37,6.770801
46.0,46,6.778754
39.0,39,6.785566
59.0,59,6.795974
67.0,67,6.806958
49.0,49,6.815776
27.0,27,6.820369
64.0,64,6.831673
33.0,33,6.837413
39.0,39,6.844012
32.0,32,6.849471
33.0,33,6.854903
54.0,54,6.863775
48.0,48,6.871641
42.0,42,6.878603
108.0,108,6.896347
36.0,36,6.902267
41.0,41,6.909304
40.0,40,6.916275
32.0,32,6.921589
33.0,33,6.927372
50.0,50,6.935569
44.0,44,6.942836
29.0,29,6.94771
33.0,33,6.953151
52.0,52,6.961648
53.0,53,6.970288
33.0,33,6.975735
44.0,44,6.98359
72.0,72,6.996134
34.0,34,7.001939
30.0,30,7.00686
54.0,54,7.015831
38.0,38,7.022115
34.0,34,7.027695
88.0,88,7.042086
39.0,39,7.545567
62.0,62,7.557167
29.0,29,7.562036
72.0,72,7.575141
53.0,53,7.586223
54.0,54,7.5953
66.0,66,7.606279
97.0,97,7.622299
38.0,38,7.628893
51.0,51,7.637327
57.0,57,7.646728
76.0,76,7.676942
37.0,37,7.683084
56.0,56,7.692132
51.0,51,7.700348
40.0,40,7.706789
105.0,105,7.72344
72.0,72,7.734846
34.0,34,7.740344
64.0,64,7.750537
67.0,67,7.761196
44.0,44,7.768274
41.0,41,7.77486
39.0,39,7.781196
41.0,41,7.787881
44.0,44,7.795367
41.0,41,7.801972
42.0,42,7.808719
35.0,35,7.814452
29.0,29,7.819117
54.0,54,7.827814
64.0,64,7.838153
54.0,54,7.846727
54.0,54,7.85549
45.0,45,7.862652
48.0,48,7.870432
37.0,37,7.876419
35.0,35,7.882268
88.0,88,7.896385
54.0,54,8.356235
56.0,56,8.367413
44.0,44,8.376452
35.0,35,8.382741
49.0,49,8.390965
43.0,43,8.397848
75.0,75,8.409663
99.0,99,8.425501
53.0,53,8.433965
80.0,80,8.446545
70.0,70,8.457666
81.0,81,8.470576
45.0,45,8.477753
69.0,69,8.488687
43.0,43,8.495487
62.0,62,8.505241
46.0,46,8.512504
49.0,49,8.520221
59.0,59,8.529804
73.0,73,8.541377
40.0,40,8.54767
45.0,45,8.554815
58.0,58,8.564025
68.0,68,8.575204
63.0,63,8.585485
59.0,59,8.594978
69.0,69,8.605874
34.0,34,8.664434
42.0,42,8.671272
39.0,39,8.677629
62.0,62,8.687826
43.0,43,8.696034
54.0,54,8.705184
82.0,82,8.718772
62.0,62,8.728695
83.0,83,9.210836
43.0,43,9.218958
72.0,72,9.231761
65.0,65,9.24363
51.0,51,9.252429
42.0,42,9.259538
44.0,44,9.266792
66.0,66,9.277739
110.0,110,9.296116
35.0,35,9.30288
43.0,43,9.311276
85.0,85,9.327587
47.0,47,9.336283
105.0,105,9.353724
50.0,50,9.362154
40.0,40,9.368785
96.0,96,9.385003
77.0,77,9.397637
57.0,57,9.407141
47.0,47,9.414796
55.0,55,9.423746
52.0,52,9.432256
55.0,55,9.442053
74.0,74,9.453887
159.0,159,9.479635
51.0,51,9.488064
69.0,69,9.499256
120.0,120,9.518705
171.0,171,9.546283
64.0,64,10.044813
68.0,68,10.05708
120.0,120,10.076824
194.0,194,10.108249
105.0,105,10.125201
77.0,77,10.137695
56.0,56,10.146837
51.0,51,10.155022
64.0,64,10.165336
53.0,53,10.174108
132.0,132,10.195659
51.0,51,10.214804
74.0,74,10.243612
77.0,77,10.256492
87.0,87,10.271094
47.0,47,10.287
77.0,77,10.305615
52.0,52,10.314153
133.0,133,10.335018
75.0,75,10.346958
65.0,65,10.357306
82.0,82,10.370302
193.0,193,10.400449
157.0,157,10.898068
57.0,57,10.907812
197.0,197,10.938791
226.0,226,10.974155
126.0,126,10.994247
156.0,156,11.018744
133.0,133,11.039929
285.0,285,11.086109
154.0,154,11.110844
98.0,98,11.126595
212.0,212,11.160213
70.0,70,11.171515
301.0,301,11.733434
175.0,175,11.764355
236.0,236,11.805463
240.0,240,11.859452
199.0,199,11.9304
100.0,100,11.949378
272.0,272,12.020437
169.0,169,12.064333
249.0,249,12.105619
207.0,207,12.140013
241.0,241,12.82352
185.0,185,12.860644
95.0,95,12.88026
281.0,281,12.932913
97.0,97,12.949363
206.0,206,12.983601
195.0,195,13.015385
198.0,198,13.047856
315.0,315,13.445352
282.0,282,13.498172
288.0,288,14.200721
133.0,133,14.222999
159.0,159,14.249685
266.0,266,14.294451
495.0,495,14.37731
422.0,422,14.447384
238.0,238,14.486751
247.0,247,15.019323
254.0,254,15.06069
400.0,400,15.137199
267.0,267,15.187175
394.0,394,15.271669
256.0,256,15.316695
242.0,242,15.358452
500.0,500,16.082311
355.0,355,16.140316
270.0,270,16.186666
288.0,288,16.242446
253.0,253,16.291237
300.0,300,16.353266
411.0,411,17.194944
362.0,362,17.254684
